# Tala card catalog — GENERATED by packages/tala/scripts/build-card-catalog.py. Do not edit.
# Card and quiz ids -> the student app's subcategories. Append-only: see the script.
T	g4-force_motion_energy-magnets	Magnets
T	g4-force_motion_energy-motion-and-speed	Motion and Speed
T	g4-force_motion_energy-science-inventions	Science Inventions
T	g4-force_motion_energy-sound-energy	Sound Energy
T	g4-living_things-animal-adaptations	Animal Adaptations
T	g4-living_things-animal-diets	Animal Diets
T	g4-living_things-circulatory-and-respiratory-systems	Circulatory and Respiratory Systems
T	g4-living_things-digestive-systems	Digestive Systems
T	g4-living_things-ecological-interactions	Ecological Interactions
T	g4-living_things-environmental-effects	Environmental Effects
T	g4-living_things-food-chains-and-webs	Food Chains and Webs
T	g4-living_things-habitats	Habitats
T	g4-living_things-life-cycles	Life Cycles
T	g4-living_things-major-organs	Major Organs
T	g4-living_things-muscular-and-skeletal-systems	Muscular and Skeletal Systems
T	g4-living_things-plant-structures	Plant Structures
T	g4-living_things-science-process-skills	Science Process Skills
T	g4-living_things-scientists-and-inventions	Scientists and Inventions
T	g4-matter-changes-in-solid-materials	Changes in Solid Materials
T	g4-matter-chemical-bonds	Chemical Bonds
T	g4-matter-chemical-properties-of-materials	Chemical Properties of Materials
T	g4-matter-environmental-problems-and-solutions	Environmental Problems and Solutions
T	g4-matter-hazardous-materials	Hazardous Materials
T	g4-matter-mixtures	Mixtures
T	g4-matter-physical-properties-of-materials	Physical Properties of Materials
T	g4-matter-scientific-investigations	Scientific Investigations
T	g4-matter-scientists-and-inventions	Scientists and Inventions
T	g4-matter-temperature-effects-on-materials	Temperature Effects on Materials
T	g4-matter-useful-and-harmful-changes	Useful and Harmful Changes
T	g5-earth_space-constellations-and-star-patterns	Constellations and Star Patterns
T	g5-earth_space-environmental-changes	Environmental Changes
T	g5-earth_space-landforms-and-water-bodies	Landforms and Water Bodies
T	g5-earth_space-phases-of-the-moon	Phases of the Moon
T	g5-earth_space-rocks-and-rock-formation	Rocks and Rock Formation
T	g5-earth_space-solar-system-components	Solar System Components
T	g5-earth_space-waste-management	Waste Management
T	g5-earth_space-water-cycle-processes	Water Cycle Processes
T	g5-earth_space-weather-disturbances-and-typhoons	Weather Disturbances and Typhoons
T	g5-earth_space-weathering-and-erosion	Weathering and Erosion
T	g5-force_motion_energy-circuit-diagrams-and-symbols	Circuit Diagrams and Symbols
T	g5-force_motion_energy-conductors-and-insulators	Conductors and Insulators
T	g5-force_motion_energy-contact-forces	Contact Forces
T	g5-force_motion_energy-friction-forces	Friction Forces
T	g5-force_motion_energy-gravity	Gravity
T	g5-force_motion_energy-light-interactions	Light Interactions
T	g5-force_motion_energy-magnets-and-electromagnets	Magnets and Electromagnets
T	g5-force_motion_energy-motion-and-speed	Motion and Speed
T	g5-force_motion_energy-non-contact-forces	Non-contact Forces
T	g5-force_motion_energy-series-and-parallel-circuits	Series and Parallel Circuits
T	g5-force_motion_energy-simple-electric-circuits	Simple Electric Circuits
T	g5-force_motion_energy-static-electricity	Static Electricity
T	g5-living_things-angiosperms-and-gymnosperms	Angiosperms and Gymnosperms
T	g5-living_things-animal-and-microorganism-classification	Animal and Microorganism Classification
T	g5-living_things-animal-reproduction	Animal Reproduction
T	g5-living_things-digestive-system-parts	Digestive System Parts
T	g5-living_things-estuaries-and-intertidal-zones	Estuaries and Intertidal Zones
T	g5-living_things-human-reproductive-system	Human Reproductive System
T	g5-living_things-menstrual-cycles	Menstrual Cycles
T	g5-living_things-plant-and-animal-adaptations	Plant and Animal Adaptations
T	g5-living_things-plant-reproduction	Plant Reproduction
T	g5-living_things-respiratory-system-parts	Respiratory System Parts
T	g5-living_things-soil-and-plant-growth	Soil and Plant Growth
T	g5-living_things-specialized-plant-structures	Specialized Plant Structures
T	g5-living_things-waste-management-practices	Waste Management Practices
T	g5-matter-effects-of-heat	Effects of Heat
T	g5-matter-mass-and-temperature-measurements	Mass and Temperature Measurements
T	g5-matter-material-properties	Material Properties
T	g5-matter-physical-and-chemical-changes	Physical and Chemical Changes
T	g5-matter-science-process-skills	Science Process Skills
T	g5-matter-states-of-matter	States of Matter
T	g5-matter-volume-measurements	Volume Measurements
T	g5-matter-waste-management	Waste Management
T	g6-earth_space-atmospheres	Atmospheres
T	g6-earth_space-constellations	Constellations
T	g6-earth_space-earthquake-and-volcanic-safety	Earthquake and Volcanic Safety
T	g6-earth_space-earthquakes-and-surface-changes	Earthquakes and Surface Changes
T	g6-earth_space-earths-motions	Earth's Motions
T	g6-earth_space-ethnoastronomy-beliefs	Ethnoastronomy Beliefs
T	g6-earth_space-planets	Planets
T	g6-earth_space-seasons	Seasons
T	g6-earth_space-volcanic-materials-and-alerts	Volcanic Materials and Alerts
T	g6-earth_space-volcano-parts-and-formation	Volcano Parts and Formation
T	g6-force_motion_energy-energy-transformations	Energy Transformations
T	g6-force_motion_energy-forms-of-energy	Forms of Energy
T	g6-force_motion_energy-friction-and-gravity	Friction and Gravity
T	g6-force_motion_energy-inclined-planes	Inclined Planes
T	g6-force_motion_energy-levers	Levers
T	g6-force_motion_energy-simple-machines	Simple Machines
T	g6-force_motion_energy-sound-waves	Sound Waves
T	g6-force_motion_energy-waves	Waves
T	g6-living_things-animal-groups	Animal Groups
T	g6-living_things-biotic-and-abiotic-factors	Biotic and Abiotic Factors
T	g6-living_things-circulatory-and-respiratory-systems	Circulatory and Respiratory Systems
T	g6-living_things-digestive-systems	Digestive Systems
T	g6-living_things-ecological-interactions	Ecological Interactions
T	g6-living_things-food-webs-and-roles	Food Webs and Roles
T	g6-living_things-musculoskeletal-and-integumentary-systems	Musculoskeletal and Integumentary Systems
T	g6-living_things-nervous-systems	Nervous Systems
T	g6-living_things-organ-systems-working-together	Organ Systems Working Together
T	g6-living_things-plant-propagation-methods	Plant Propagation Methods
T	g6-living_things-plant-reproduction	Plant Reproduction
T	g6-living_things-tropical-and-coastal-ecosystems	Tropical and Coastal Ecosystems
T	g6-matter-air-components	Air Components
T	g6-matter-decantation-methods	Decantation Methods
T	g6-matter-evaporation-methods	Evaporation Methods
T	g6-matter-fair-test-variables	Fair Test Variables
T	g6-matter-filtering-and-sieving	Filtering and Sieving
T	g6-matter-general-separation-techniques	General Separation Techniques
T	g6-matter-kinds-of-mixtures	Kinds of Mixtures
T	g6-matter-magnetic-separation-methods	Magnetic Separation Methods
T	g6-matter-phase-changes-and-heat	Phase Changes and Heat
T	g6-matter-physical-and-chemical-changes	Physical and Chemical Changes
T	g6-matter-solutions	Solutions
T	g6-matter-suspensions-and-colloids	Suspensions and Colloids
T	g7-earth_space-atmospheric-layers	Atmospheric Layers
T	g7-earth_space-climate-change-and-renewables	Climate Change and Renewables
T	g7-earth_space-earthquake-preparedness	Earthquake Preparedness
T	g7-earth_space-earthquake-risks	Earthquake Risks
T	g7-earth_space-earthquakes-and-faults	Earthquakes and Faults
T	g7-earth_space-earths-motions-and-seasons	Earth's Motions and Seasons
T	g7-earth_space-locating-places	Locating Places
T	g7-earth_space-natural-resources	Natural Resources
T	g7-earth_space-seismic-waves-and-tsunamis	Seismic Waves and Tsunamis
T	g7-earth_space-shadows-and-eclipses	Shadows and Eclipses
T	g7-earth_space-solar-energy-and-latitude	Solar Energy and Latitude
T	g7-earth_space-weather-patterns	Weather Patterns
T	g7-force_motion_energy-balanced-and-unbalanced-forces	Balanced and Unbalanced Forces
T	g7-force_motion_energy-charging-processes	Charging Processes
T	g7-force_motion_energy-distance-and-displacement	Distance and Displacement
T	g7-force_motion_energy-force-vectors-free-body-diagrams	Force Vectors and Free-body Diagrams
T	g7-force_motion_energy-forces-and-their-effects	Forces and Their Effects
T	g7-force_motion_energy-heat-temperature-conductors-insulators	Heat, Temperature, and Thermal Conductors/insula
T	g7-force_motion_energy-heat-transfer-methods	Heat Transfer Methods
T	g7-force_motion_energy-light	Light
T	g7-force_motion_energy-motion-graphs-ticker-tapes	Motion Graphs and Ticker Tapes
T	g7-force_motion_energy-sound-waves	Sound Waves
T	g7-force_motion_energy-speed-velocity-acceleration	Speed, Velocity, and Acceleration
T	g7-force_motion_energy-waves	Waves
T	g7-living_things-cell-divisions	Cell Divisions
T	g7-living_things-cells	Cells
T	g7-living_things-ecological-relationships	Ecological Relationships
T	g7-living_things-ecosystem-components	Ecosystem Components
T	g7-living_things-food-chains-and-webs	Food Chains and Webs
T	g7-living_things-human-impacts-on-ecosystems	Human Impacts on Ecosystems
T	g7-living_things-levels-of-biological-organization	Levels of Biological Organization
T	g7-living_things-microscopes	Microscopes
T	g7-living_things-scientific-investigations	Scientific Investigations
T	g7-living_things-types-of-reproduction	Types of Reproduction
T	g7-matter-acids-bases-and-salts	Acids, Bases, and Salts
T	g7-matter-elements-and-compounds	Elements and Compounds
T	g7-matter-laboratory-equipment-and-safety	Laboratory Equipment and Safety
T	g7-matter-measurement-tools-and-units	Measurement Tools and Units
T	g7-matter-particle-model-of-matter	Particle Models of Matter
T	g7-matter-pure-substances-and-mixtures	Pure Substances and Mixtures
T	g7-matter-scientific-investigations	Scientific Investigations
T	g7-matter-scientific-models	Scientific Models
T	g7-matter-solubility-factors	Solubility Factors
T	g7-matter-solution-concentration	Solution Concentrations
T	g7-matter-solutions	Solutions
T	g7-matter-states-and-phase-changes	States and Phase Changes
T	g8-earth_space-comets-meteors-and-asteroids	Comets, Meteors, and Asteroids
T	g8-earth_space-crust-and-lithospheric-plates	Crust and Lithospheric Plates
T	g8-earth_space-earthquake-focus-and-epicenter	Earthquake Focus and Epicenter
T	g8-earth_space-earthquake-waves-and-interior	Earthquake Waves and Interior
T	g8-earth_space-faults-and-earthquake-generation	Faults and Earthquake Generation
T	g8-earth_space-moon-phases-and-tides	Moon Phases and Tides
T	g8-earth_space-typhoon-formation-and-structure	Typhoon Formation and Structure
T	g8-earth_space-typhoon-tracking-and-preparedness	Typhoon Tracking and Preparedness
T	g8-earth_space-volcanic-eruptions-and-hazards	Volcanic Eruptions and Hazards
T	g8-force_motion_energy-acceleration	Acceleration
T	g8-force_motion_energy-conservation-of-energy	Conservation of Energy
T	g8-force_motion_energy-current-voltage-and-resistance	Current, Voltage, and Resistance
T	g8-force_motion_energy-electrical-safety-devices	Electrical Safety Devices
T	g8-force_motion_energy-forces-and-motion	Forces and Motion
T	g8-force_motion_energy-heat-and-temperature	Heat and Temperature
T	g8-force_motion_energy-kinetic-and-potential-energy	Kinetic and Potential Energy
T	g8-force_motion_energy-light-dispersion	Light Dispersion
T	g8-force_motion_energy-motion-graphs	Motion Graphs
T	g8-force_motion_energy-newtons-laws-of-motion	Newton's Laws of Motion
T	g8-force_motion_energy-reflection-of-light	Reflection of Light
T	g8-force_motion_energy-refraction-and-lenses	Refraction and Lenses
T	g8-force_motion_energy-series-and-parallel-circuits	Series and Parallel Circuits
T	g8-force_motion_energy-sound-and-light	Sound and Light
T	g8-force_motion_energy-uniform-circular-motion	Uniform Circular Motion
T	g8-force_motion_energy-work-and-power	Work and Power
T	g8-living_things-biodiversity-and-conservation	Biodiversity and Conservation
T	g8-living_things-biogeochemical-cycles	Biogeochemical Cycles
T	g8-living_things-cell-division	Cell Division
T	g8-living_things-cellular-respiration-and-fermentation	Cellular Respiration and Fermentation
T	g8-living_things-classification-systems	Classification Systems
T	g8-living_things-digestive-systems	Digestive Systems
T	g8-living_things-food-chains-and-energy	Food Chains and Energy
T	g8-living_things-human-impacts-on-ecosystems	Human Impacts on Ecosystems
T	g8-living_things-inheritance-patterns	Inheritance Patterns
T	g8-living_things-metabolic-reactions	Metabolic Reactions
T	g8-living_things-photosynthesis	Photosynthesis
T	g8-living_things-plant-transport-systems	Plant Transport Systems
T	g8-matter-atomic-models	Atomic Models
T	g8-matter-electron-configurations	Electron Configurations
T	g8-matter-elements-and-compounds	Elements and Compounds
T	g8-matter-groups-and-periods	Groups and Periods
T	g8-matter-isotopes-and-atomic-mass	Isotopes and Atomic Mass
T	g8-matter-metals-nonmetals-metalloids	Metals, Nonmetals, Metalloids
T	g8-matter-particle-nature-of-matter	Particle Nature of Matter
T	g8-matter-periodic-table-development	Periodic Table Development
T	g8-matter-phase-changes	Phase Changes
T	g8-matter-subatomic-particles	Subatomic Particles
T	g9-earth_space-climate-factors-and-phenomena	Climate Factors and Phenomena
T	g9-earth_space-geologic-time-and-dating	Geologic Time and Dating
T	g9-earth_space-plate-boundaries-and-drift	Plate Boundaries and Drift
T	g9-earth_space-seismic-waves-and-layers	Seismic Waves and Layers
T	g9-earth_space-small-solar-system-bodies	Small Solar System Bodies
T	g9-earth_space-solar-system-and-orbits	Solar System and Orbits
T	g9-earth_space-space-technologies	Space Technologies
T	g9-earth_space-stars-and-constellations	Stars and Constellations
T	g9-earth_space-volcanoes-and-geothermal-energy	Volcanoes and Geothermal Energy
T	g9-force_motion_energy-circuits-and-ohms-law	Circuits and Ohm's Law
T	g9-force_motion_energy-electrical-energy-systems	Electrical Energy Systems
T	g9-force_motion_energy-electromagnetic-waves-and-applications	Electromagnetic Waves and Applications
T	g9-force_motion_energy-energy-heat-and-work	Energy, Heat, and Work
T	g9-force_motion_energy-free-fall-motion	Free-fall Motion
T	g9-force_motion_energy-laws-of-motion	Laws of Motion
T	g9-force_motion_energy-momentum-impulse-and-collisions	Momentum, Impulse, and Collisions
T	g9-force_motion_energy-projectile-motion	Projectile Motion
T	g9-living_things-biodiversity-and-conservation	Biodiversity and Conservation
T	g9-living_things-biotic-and-abiotic-factors	Biotic and Abiotic Factors
T	g9-living_things-dna-genes-and-chromosomes	Dna, Genes, and Chromosomes
T	g9-living_things-human-impacts-on-ecosystems	Human Impacts on Ecosystems
T	g9-living_things-non-mendelian-inheritance	Non-mendelian Inheritance
T	g9-living_things-photosynthesis-and-cellular-respiration	Photosynthesis and Cellular Respiration
T	g9-living_things-respiratory-and-circulatory-diseases	Respiratory and Circulatory Diseases
T	g9-living_things-respiratory-and-circulatory-systems	Respiratory and Circulatory Systems
T	g9-matter-chemical-changes	Chemical Changes
T	g9-matter-compound-properties	Compound Properties
T	g9-matter-covalent-bonds	Covalent Bonds
T	g9-matter-electronic-structures	Electronic Structures
T	g9-matter-ionic-bonds	Ionic Bonds
T	g9-matter-metallic-bonds	Metallic Bonds
T	g9-matter-mole-calculations	Mole Calculations
T	g9-matter-organic-compounds	Organic Compounds
T	g9-matter-percentage-compositions	Percentage Compositions
T	g9-matter-scientific-investigations	Scientific Investigations
T	gases	Gases
T	genetics	Genetic Traits
T	geology	Geology Topics
T	germs	Germs
T	gravity	Gravitational Forces
T	health	Health Topics
T	heat	Heat Energy
T	human-body	Human Bodies
T	insects	Insects
T	invertebrates	Invertebrates
T	landforms	Landforms
T	light	Light Energy
T	magnetism	Magnetic Forces
T	magnets	Magnets
T	mammals	Mammals
T	marine-animals	Marine Animals
T	materials	Materials
T	matter	Matter Types
T	measurement	Measurement Tools
T	microorganisms	Microorganisms
T	minerals	Minerals
T	mixtures	Mixtures
T	mollusks	Mollusks
T	moon	Moon Phases
T	motion	Motion Types
T	natural-disasters	Natural Disasters
T	nutrition	Nutrition Facts
T	oceans	Oceans
T	physical-changes	Physical Changes
T	planets	Planets
T	plant-life-cycles	Plant Life Cycles
T	plant-reproduction	Plant Reproduction Methods
T	plants	Plants
T	pollution	Pollution Types
T	recycling	Recycling Methods
T	reptiles	Reptiles
T	rocks	Rocks
T	rocks-and-minerals	Rocks and Minerals
T	seasons	Seasons
T	senses	Senses
T	simple-machines	Simple Machines
T	soil	Soil Types
T	solar-system	Solar Systems
T	solutions	Solutions
T	sound	Sound Waves
T	space	Space Phenomena
T	space-exploration	Space Missions
T	spiders	Spiders
T	stars	Stars
T	states-of-matter	States of Matter
T	the-moon	Moon Features
T	tides	Tides
T	trees	Trees
T	volcanoes	Volcanoes
T	water	Water Types
T	water-cycle	Water Cycles
T	weather	Weather Types
T	worms	Worms
C	dcard-00001	88
C	dcard-00003	88
C	dcard-00005	88
C	dcard-00006	88
C	dcard-00007	228
C	dcard-00009	228
C	dcard-00010	228
C	dcard-00011	228
C	dcard-00012	228
C	dcard-00013	228
C	dcard-00014	228
C	dcard-00015	228
C	dcard-00016	347
C	dcard-00017	347
C	dcard-00018	347
C	dcard-00019	347
C	dcard-00020	347
C	dcard-00021	347
C	dcard-00022	347
C	dcard-00023	347
C	dcard-00024	347
C	dcard-00025	347
C	dcard-00026	186
C	dcard-00027	186
C	dcard-00029	186
C	dcard-00032	186
C	dcard-00033	186
C	dcard-00034	186
C	dcard-00037	186
C	dcard-00043	170
C	dcard-00044	170
C	dcard-00045	170
C	dcard-00047	170
C	dcard-00050	123
C	dcard-00051	123
C	dcard-00053	123
C	dcard-00055	123
C	dcard-00056	123
C	dcard-00058	167
C	dcard-00060	167
C	dcard-00061	167
C	dcard-00062	167
C	dcard-00063	167
C	dcard-00064	167
C	dcard-00065	167
C	dcard-00066	167
C	dcard-00067	167
C	dcard-00068	167
C	dcard-00070	167
C	dcard-00071	167
C	dcard-00072	167
C	dcard-00073	167
C	dcard-00074	167
C	dcard-00075	167
C	dcard-00076	167
C	dcard-00077	167
C	dcard-00078	167
C	dcard-00079	170
C	dcard-00080	170
C	dcard-00081	170
C	dcard-00082	170
C	dcard-00083	170
C	dcard-00084	170
C	dcard-00086	170
C	dcard-00089	277
C	dcard-00090	277
C	dcard-00092	277
C	dcard-00093	217
C	dcard-00094	217
C	dcard-00095	217
C	dcard-00096	217
C	dcard-00098	217
C	dcard-00099	217
C	dcard-00100	217
C	dcard-00101	217
C	dcard-00102	217
C	dcard-00103	217
C	dcard-00104	217
C	dcard-00105	217
C	dcard-00106	217
C	dcard-00107	217
C	dcard-00108	217
C	dcard-00109	217
C	dcard-00110	217
C	dcard-00112	217
C	dcard-00113	217
C	dcard-00114	217
C	dcard-00115	217
C	dcard-00116	217
C	dcard-00117	217
C	dcard-00118	217
C	dcard-00119	217
C	dcard-00120	217
C	dcard-00121	217
C	dcard-00122	217
C	dcard-00123	217
C	dcard-00124	217
C	dcard-00125	376
C	dcard-00126	376
C	dcard-00127	376
C	dcard-00128	376
C	dcard-00131	237
C	dcard-00135	237
C	dcard-00136	237
C	dcard-00138	237
C	dcard-00139	237
C	dcard-00141	73
C	dcard-00142	73
C	dcard-00143	73
C	dcard-00144	73
C	dcard-00145	73
C	dcard-00146	73
C	dcard-00147	73
C	dcard-00148	73
C	dcard-00149	73
C	dcard-00150	73
C	dcard-00152	287
C	dcard-00153	287
C	dcard-00154	287
C	dcard-00155	287
C	dcard-00156	287
C	dcard-00157	287
C	dcard-00160	287
C	dcard-00161	287
C	dcard-00162	287
C	dcard-00163	287
C	dcard-00165	287
C	dcard-00167	287
C	dcard-00168	287
C	dcard-00169	287
C	dcard-00170	287
C	dcard-00171	287
C	dcard-00173	287
C	dcard-00174	287
C	dcard-00175	217
C	dcard-00176	260
C	dcard-00177	260
C	dcard-00178	260
C	dcard-00179	260
C	dcard-00180	260
C	dcard-00181	260
C	dcard-00182	335
C	dcard-00183	335
C	dcard-00184	335
C	dcard-00185	335
C	dcard-00186	335
C	dcard-00188	335
C	dcard-00189	335
C	dcard-00190	335
C	dcard-00192	335
C	dcard-00193	335
C	dcard-00194	335
C	dcard-00196	335
C	dcard-00197	269
C	dcard-00199	269
C	dcard-00200	269
C	dcard-00201	269
C	dcard-00202	269
C	dcard-00204	269
C	dcard-00207	269
C	dcard-00208	269
C	dcard-00209	379
C	dcard-00210	379
C	dcard-00213	379
C	dcard-00215	379
C	dcard-00216	379
C	dcard-00217	379
C	dcard-00218	379
C	dcard-00219	379
C	dcard-00220	379
C	dcard-00221	379
C	dcard-00222	379
C	dcard-00223	379
C	dcard-00224	379
C	dcard-00225	379
C	dcard-00226	379
C	dcard-00227	379
C	dcard-00228	379
C	dcard-00229	379
C	dcard-00230	379
C	dcard-00231	379
C	dcard-00232	379
C	dcard-00237	143
C	dcard-00238	143
C	dcard-00239	143
C	dcard-00242	277
C	dcard-00243	277
C	dcard-00245	277
C	dcard-00246	277
C	dcard-00248	277
C	dcard-00249	362
C	dcard-00250	362
C	dcard-00251	362
C	dcard-00252	362
C	dcard-00253	362
C	dcard-00254	362
C	dcard-00255	362
C	dcard-00256	362
C	dcard-00257	362
C	dcard-00258	362
C	dcard-00259	362
C	dcard-00260	161
C	dcard-00261	161
C	dcard-00262	161
C	dcard-00263	161
C	dcard-00264	161
C	dcard-00266	161
C	dcard-00268	299
C	dcard-00271	299
C	dcard-00272	299
C	dcard-00273	299
C	dcard-00274	299
C	dcard-00276	299
C	dcard-00277	299
C	dcard-00278	367
C	dcard-00280	367
C	dcard-00281	367
C	dcard-00283	367
C	dcard-00285	367
C	dcard-00286	367
C	dcard-00287	367
C	dcard-00291	367
C	dcard-00293	367
C	dcard-00294	307
C	dcard-00298	307
