set	sheet	pos	row	col	id	topic
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	1	0	1	ffct-33548	what does PAR mean in weather
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	2	0	2	ffct-33549	how many tropical cyclone categories does PAGASA use
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	3	0	3	ffct-33550	wind speed of a tropical depression
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	4	1	0	ffct-33551	wind speed of a tropical storm
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	5	1	1	ffct-33552	wind speed of a typhoon
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	6	1	2	ffct-33553	wind speed of a super typhoon
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	7	1	3	ffct-33554	country hit by most typhoons
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	8	2	0	ffct-33555	who first used the telescope for astronomy
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	9	2	1	ffct-33556	what did Galileo see with his telescope
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	10	2	2	ffct-33557	who proposed the Sun-centered model
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	11	2	3	ffct-33558	when did Copernicus publish his book
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	12	3	0	ffct-33559	how many moons of Jupiter did Galileo discover
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	13	3	1	ffct-33560	who discovered the laws of planetary motion
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	14	3	2	ffct-33561	what shape are planet orbits according to Kepler
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	15	3	3	ffct-33563	when was Uranus discovered
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	0	0	0	ffct-33564	who discovered Pluto
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	1	0	1	ffct-33565	when was Pluto discovered
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	2	0	2	ffct-33567	who showed there are galaxies beyond the Milky Way
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	3	0	3	ffct-33568	who discovered the universe is expanding
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	4	1	0	ffct-33570	what did Galileo observe about Venus
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	5	1	1	ffct-33573	what nationality was Copernicus
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	6	1	2	ffct-33574	how many laws of planetary motion did Kepler make
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	7	1	3	ffct-33575	why were Galileo's Jupiter moons important
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	8	2	0	ffct-33577	did Galileo invent the telescope
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	9	2	1	ffct-33578	how many planets are in the solar system
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	10	2	2	ffct-33579	what color is Uranus
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	11	2	3	ffct-33580	whose observations did Kepler use
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	12	3	0	ffct-33581	Eduardo San Juan moon buggy claim caution
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	13	3	1	ffct-33583	temperature of the Sun's core
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	14	3	2	ffct-33584	temperature of lava
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1071.png	15	3	3	ffct-33586	how many seconds in a day
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	0	0	0	ffct-33587	how many hours in a day
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	1	0	1	ffct-33588	how many minutes in an hour
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	2	0	2	ffct-33589	how many seconds in a minute
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	3	0	3	ffct-33590	how many days in a year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	4	1	0	ffct-33591	how many days in a leap year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	5	1	1	ffct-33592	why do we have a leap year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	6	1	2	ffct-33593	which day is added in a leap year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	7	1	3	ffct-33594	how often is a leap year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	8	2	0	ffct-33595	how many months in a year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	9	2	1	ffct-33596	how many weeks in a year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	10	2	2	ffct-33597	how many days in a week
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	11	2	3	ffct-33598	how many hours in a week
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	12	3	0	ffct-33599	how many days in January
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	13	3	1	ffct-33600	how many days in February
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	14	3	2	ffct-33601	how many days in April
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1072.png	15	3	3	ffct-33602	how many days in December
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	0	0	0	ffct-33611	which months have 31 days
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	1	0	1	ffct-33612	which months have 30 days
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	2	0	2	ffct-33613	which month has the fewest days
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	3	0	3	ffct-33614	what is the first month of the year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	4	1	0	ffct-33615	what is the last month of the year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	5	1	1	ffct-33616	how many years in a decade
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	6	1	2	ffct-33617	how many years in a century
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	7	1	3	ffct-33618	how many years in a millennium
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	8	2	0	ffct-33620	how many months in a quarter of a year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	9	2	1	ffct-33622	how long is a year on Mercury
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	10	2	2	ffct-33623	how long is a solar day on Mercury
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	11	2	3	ffct-33624	how long does Mercury take to spin once
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	12	3	0	ffct-33625	how long does Venus take to spin once
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	13	3	1	ffct-33627	how long is a year on Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	14	3	2	ffct-33628	how long is a day on Mars
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1073.png	15	3	3	ffct-33629	how long is a year on Mars
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	0	0	0	ffct-33630	which planet spins the fastest
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	1	0	1	ffct-33631	how long is a day on Jupiter
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	2	0	2	ffct-33632	how long is a day on Saturn
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	3	0	3	ffct-33633	how long is a year on Saturn
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	4	1	0	ffct-33634	how long is a day on Uranus
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	5	1	1	ffct-33635	how long is a year on Uranus
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	6	1	2	ffct-33636	how long is a day on Neptune
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	7	1	3	ffct-33639	which planet has the longest day
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	8	2	0	ffct-33640	which planet has the shortest day
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	9	2	1	ffct-33641	how long from one sunrise to the next on Venus
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	10	2	2	ffct-33642	largest planet in the solar system
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	11	2	3	ffct-33644	hottest planet in the solar system
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	12	3	0	ffct-33645	surface temperature of Venus
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	13	3	1	ffct-33647	densest planet in the solar system
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	14	3	2	ffct-33648	least dense planet in the solar system
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1074.png	15	3	3	ffct-33649	planet with the most moons
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	0	0	0	ffct-33650	how many planets have rings
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	1	0	1	ffct-33656	planet with the longest day
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	2	0	2	ffct-33657	fastest spinning planet
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	3	0	3	ffct-33658	largest volcano in the solar system
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	4	1	0	ffct-33660	how many planets in the solar system
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	5	1	1	ffct-33661	second largest planet
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	6	1	2	ffct-33662	only known planet with life
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	7	1	3	ffct-33666	how wide is Jupiter
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	8	2	0	ffct-33668	how long does sunlight take to reach Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	9	2	1	ffct-33671	how big is the Sun (diameter)
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	10	2	2	ffct-33672	how big is the Moon (diameter)
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	11	2	3	ffct-33673	how big is the Earth (diameter)
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	12	3	0	ffct-33676	how many Earths fit inside the Sun
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	13	3	1	ffct-33679	how many planets in the solar system
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	14	3	2	ffct-33680	how many official dwarf planets
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1075.png	15	3	3	ffct-33682	how many moons Mars has
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	0	0	0	ffct-33683	how many moons Jupiter has
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	1	0	1	ffct-33684	how many planets visible without a telescope
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	2	0	2	ffct-33685	how many rocky planets
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	3	0	3	ffct-33686	how many giant planets
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	4	1	0	ffct-33687	how many planets have rings
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	5	1	1	ffct-33689	how far is a light-year in kilometers
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	6	1	2	ffct-33690	how many stars in the Milky Way
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	7	1	3	ffct-33699	how many galaxies in the universe
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	8	2	0	ffct-33700	how much of the solar system's mass is the Sun
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	9	2	1	ffct-33701	how many Earths fit inside the Sun
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	10	2	2	ffct-33705	which is the hottest planet
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	11	2	3	ffct-33706	how long is a day on Mars
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	12	3	0	ffct-33707	how many days in an Earth year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	13	3	1	ffct-33708	which planet has the second most moons
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	14	3	2	ffct-33711	first human in space
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1076.png	15	3	3	ffct-33712	year the first human went to space
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	0	0	0	ffct-33713	year the first woman went to space
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	1	0	1	ffct-33714	first person to do a spacewalk
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	2	0	2	ffct-33715	year of the first spacewalk
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	3	0	3	ffct-33716	year humans first landed on the Moon
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	4	1	0	ffct-33717	name of the first Moon landing mission
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	5	1	1	ffct-33720	first American to orbit the Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	6	1	2	ffct-33721	which country sent the first human to space
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	7	1	3	ffct-33722	which country first landed people on the Moon
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	8	2	0	ffct-33723	famous words said on the Moon
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	9	2	1	ffct-33725	who invented the first telescope
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	10	2	2	ffct-33729	when was the James Webb Space Telescope launched
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	11	2	3	ffct-33730	what is the James Webb telescope for
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	12	3	0	ffct-33731	what was the first crewed Moon landing
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	13	3	1	ffct-33732	who was the first person to walk on the Moon
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	14	3	2	ffct-33733	who was the second person on the Moon
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1077.png	15	3	3	ffct-33736	what does the Voyager Golden Record carry
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	0	0	0	ffct-33738	what is the Curiosity rover for
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	1	0	1	ffct-33740	what is the Perseverance rover for
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	2	0	2	ffct-33743	when did people start living on the ISS
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	3	0	3	ffct-33746	how far did Apollo 11 travel to the Moon
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	4	1	0	ffct-33747	is Earth's inner core solid or liquid
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	5	1	1	ffct-33748	is Earth's outer core solid or liquid
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	6	1	2	ffct-33749	what percent of Earth's surface is covered by water
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	7	1	3	ffct-33750	what percent of Earth's surface is land
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	8	2	0	ffct-33751	what is the circumference of Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	9	2	1	ffct-33752	how old is planet Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	10	2	2	ffct-33756	what shape is the Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	11	2	3	ffct-33757	what is the largest ocean on Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	12	3	0	ffct-33758	how many oceans are on Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	13	3	1	ffct-33759	what is the deepest point on Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	14	3	2	ffct-33760	what is the tallest mountain on Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1078.png	15	3	3	ffct-33761	which planet is known to have life
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	0	0	0	ffct-33763	which layer of Earth is the thinnest
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	1	0	1	ffct-33764	what creates Earth's magnetic field
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	2	0	2	ffct-33766	what is the most common gas in Earth's atmosphere
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	3	0	3	ffct-33769	what is the total surface area of Earth
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	4	1	0	ffct-33770	what is an asteroid
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	5	1	1	ffct-33781	what is a meteoroid
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	6	1	2	ffct-33783	what is a meteorite
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	7	1	3	ffct-33784	difference between a meteor and a meteorite
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	8	2	0	ffct-33786	what is the largest asteroid
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	9	2	1	ffct-33787	what is a constellation
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	10	2	2	ffct-33788	how many official constellations are there
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	11	2	3	ffct-33789	what is the name of the North Star
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	12	3	0	ffct-33790	which constellation contains Polaris
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	13	3	1	ffct-33791	why is the North Star useful
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	14	3	2	ffct-33793	which constellation contains Sirius
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1079.png	15	3	3	ffct-33794	how far away is Sirius
