set,id,verdict,note,topic,sheet,row,col
png,single-replacement-reaction,text,gibberish formulas,chemistry: single replacement reaction,,2,0
png,solute-solvent-solution,text,solute label baked in,chemistry: solute solvent solution,,3,3
png,sound-pitch-loudness,text,gibberish labels,physics: sound pitch loudness,,2,0
png,substance-vs-mixture-particles,text,category labels baked in,chemistry: substance vs mixture particles,,0,2
png,sun-earth-moon-model,off-topic,Earth-centered with two moons,earth-science: sun earth moon model,,2,3
png,sun-earth-size,off-topic,sun drawn with Earth continents,earth-science: sun earth size,,3,0
png,sun-spots-surface,off-topic,"shows moon craters, not sunspots",earth-science: sun spots surface,,0,1
png,swimming-pool-bent-stick-refraction,off-topic,straw in glass not pool,physics: swimming pool bent stick refraction,,2,0
png,symbiosis-types-diagram,text,gibberish baked-in labels,biology: symbiosis types diagram,,3,1
png,synthesis-reaction-combine,text,NO label baked in,chemistry: synthesis reaction combine,,2,1
png,three-rock-types-comparison,text,labels baked in,earth-science: three rock types comparison,,3,3
png,tides-spring-neap,text,labels baked in,earth-science: tides spring neap,,0,3
png,tomato-kamatis,style,heavy digital shading,biology: tomato kamatis,,2,3
png,tricycle-engine-energy-flow,text,baked-in text,physics: tricycle engine energy flow,,3,1
png,trophic-roles-web-diagram,text,gibberish labels,biology: trophic roles web diagram,,0,0
png,typhoon-preparation-home-scene,text,labels baked in,earth-science: typhoon preparation home scene,,3,3
png,uses-of-metal-objects,text,Metals label baked in,chemistry: uses of metal objects,,1,1
png,vaccination-immunity,text,gibberish text,biology: vaccination immunity,,2,1
png,visible-light-roygbiv,off-topic,not recognizable as light,physics: visible light roygbiv,,2,2
png,vitamin-a-food-sources,text,misspelled labels,biology: vitamin a food sources,,1,0
png,vitamins-sources-fruits-veg,text,gibberish labels,biology: vitamins sources fruits veg,,1,3
png,volcano-crater,style,heavy border clashes with style,earth-science: volcano crater,,2,2
png,volcano-in-lake,style,black frame baked in,earth-science: volcano in lake,,3,1
png,waste-segregation-bins-scene,text,labels baked in,earth-science: waste segregation bins scene,,0,0
png,water-refilling-station-scene,text,gibberish sign text,chemistry: water refilling station scene,,1,0
png,wave-transverse,text,labels baked in,physics: wave transverse,,0,1
png,weather-chart,text,baked-in day names,earth-science: weather chart,,3,0
png,weather-forecasting-tools,text,readout text baked in,earth-science: weather forecasting tools,,3,2
png,weather-vs-climate-comparison,text,labels and misspellings baked in,earth-science: weather vs climate comparison,,0,2
png,wheelbarrow-cement-load,text,labels baked in,physics: wheelbarrow cement load,,2,1
png,why-philippines-has-wet-dry-seasons,text,misspelled labels baked in,earth-science: why philippines has wet dry seasons,,1,2
png,window-air-conditioner,style,solid black background,physics: window air conditioner,,1,2
png,wood-floating-on-water,style,black background clash,chemistry: wood floating on water,,1,3
png,work-force-distance,text,labels baked in,physics: work force distance,,2,2
webp,ffct-00085,off-topic,root vegetable not safety,Plant Safety,,0,1
webp,ffct-00119,off-topic,no red tide context,can you still eat fish during red tide,,0,1
webp,ffct-00142,off-topic,eye does not illustrate concept,not a sickness you catch,,2,2
webp,ffct-00195,text,ORS label baked in,Newer low-osmolarity ORS is gentler and more effective,,1,2
webp,ffct-00225,text,ear anatomy labels,otitis media middle ear infection in children,,0,3
webp,ffct-00227,text,lymphatic labels baked in,lymphatic drainage prevents swelling,,1,1
webp,ffct-00229,text,molasses jar label,molasses is the byproduct of sugar refining,,1,2
webp,ffct-00306,text,vaccine label baked in,what the cold chain is,,3,3
webp,ffct-00355,off-topic,shows treatment not cause,Diarrhea and vomiting cause dehydration,,1,1
webp,ffct-00392,text,vaccine label baked in,adjuvants in vaccines boost immune response,,0,3
webp,ffct-00400,text,vaccine label baked in,MMR vaccine protects against three diseases,,1,2
webp,ffct-00432,text,layer labels baked in,thermal stratification of lakes in tropics,,2,0
webp,ffct-00534,text,product label text baked in,fluoride protects teeth,,3,0
webp,ffct-00555,text,drug label text baked in,TB was deadly before medicines but now curable,,1,1
webp,ffct-00566,text,anatomy label baked in,ear tube balances air pressure,,2,3
webp,ffct-00589,text,vaccine label text baked in,who discovered the first vaccine,,1,0
webp,ffct-00645,text,label text baked in,alcohol or sanitizer when no soap and water,,3,0
webp,ffct-00650,text,drug label text baked in,treatable with antibiotics,,3,3
webp,ffct-00881,text,drug label text baked in,Expiration date tells when medicine goes bad,,1,1
webp,ffct-00908,text,N95 and warning text,N95 respirators filter better,,0,2
webp,ffct-00951,text,warning label text,warnings and side effects,,1,2
webp,ffct-01023,text,aspirin label text baked in,wrong dose risk,,1,0
webp,ffct-01046,text,medicated cream label text,scabies treated with medicine,,3,2
webp,ffct-01125,text,drug label text baked in,do not share or save antibiotics,,2,0
webp,ffct-01158,text,soy sauce label text,soy sauce is made by mold fermentation,,2,1
webp,ffct-01346,text,SAFE ZONE label baked in,the body keeps conditions within a narrow range,,2,1
webp,ffct-01367,text,Chinese characters baked in,be careful with street food,,3,3
webp,ffct-01584,text,VACCINE label baked in,vaccines train the body to make antibodies,,3,3
webp,ffct-01659,text,INCUBATOR label baked in,Egg Incubator,,0,0
webp,ffct-01674,text,VACCINE label baked in,vaccine versus deworming medicine,,1,2
webp,ffct-01690,off-topic,shows kidney not lymphatic,lymphatic system,,0,0
webp,ffct-01758,text,labels baked in,why vision becomes blurry,,3,2
webp,ffct-01861,off-topic,eye unrelated to traits,inherited traits vs learned traits,,2,3
webp,ffct-01865,off-topic,water bottle not overheating,When skin cannot keep up overheating happens,,3,1
webp,ffct-01866,off-topic,no insect host shown,pseudoscorpions hitch rides on insects called phoresy,,3,2
webp,ffct-01875,off-topic,only one species shown,Mullerian mimicry shared warning signals,,0,2
webp,ffct-01878,off-topic,shows sprouting not rot,too much water can rot a seed,,0,3
webp,ffct-02070,text,labels baked in,Left atrium receives oxygen-rich blood from lungs,,1,3
webp,ffct-02115,off-topic,single bird no competition,competition in ecosystems,,0,0
webp,ffct-02155,off-topic,snail not children in water,children who play in water are at risk,,1,2
webp,ffct-02232,text,label text baked in,Generic name versus brand name on label,,1,0
webp,ffct-02277,off-topic,only cardiac muscle shown,three types of muscle in the body,,3,1
webp,ffct-02283,text,milk text baked in,calcium from milk and dairy for Philippine children,,0,1
webp,ffct-02445,off-topic,gallbladder not a lump,misconception that every lump is dangerous,,1,3
webp,ffct-02534,off-topic,tick is parasite not host,what a host is,,1,1
webp,ffct-02582,off-topic,boat unrelated to kids helping,how kids can help,,3,1
webp,ffct-02606,off-topic,cheese blocks not keystone species,what a keystone species is,,2,0
webp,ffct-02708,text,opium label text baked in,why read labels,,0,1
webp,ffct-02730,text,pill bottle label text baked in,TB can be cured with medicine,,2,1
webp,ffct-02757,text,vial label text baked in,how a germ is weakened to make a vaccine,,0,1
webp,ffct-02792,text,blood bag label text baked in,blood banks store and label blood,,2,3
webp,ffct-02825,text,jar label text baked in,Ilocos Bagoong Probiotics,,0,2
webp,ffct-02853,off-topic,belly does not show vessels,blood vessels regrow to feed new skin,,2,3
webp,ffct-02863,text,dewormer text baked in,deworming medicine,,0,1
webp,ffct-02874,text,sunscreen label text baked in,Sun Safety,,2,1
webp,ffct-02938,text,blood bag text labels,blood donation saves lives,,3,3
webp,ffct-03109,text,insulin label text,type 1 diabetes,,1,3
webp,ffct-03171,text,vitamin label text,which vitamin deficiency causes beriberi,,1,0
webp,ffct-03264,off-topic,wrong pig species,Visayan warty pig different subspecies on each island,,0,1
webp,ffct-03302,off-topic,does not show competition,competitive exclusion principle,,1,2
webp,ffct-03344,text,product label text baked in,sunscreen and vitamin D balance,,2,1
webp,ffct-03466,text,dry yeast product label,dry yeast is alive but resting,,3,0
webp,ffct-03588,text,vaccine vial label text,how vaccines are tested before use,,1,3
webp,ffct-03599,text,ORS product label text,"ORS works for adults and athletes too, not just kids",,3,0
webp,ffct-03653,off-topic,shows healthy child not wasting,wasting acute malnutrition,,0,3
webp,ffct-03665,text,mouthwash product label text,mouthwash kills bacteria in the mouth,,2,0
webp,ffct-03841,text,anatomical labels baked in,how many tiny bones are in the ear,,3,3
webp,ffct-03985,text,ORS text baked in,ORS called a major lifesaving discovery for children,,1,0
webp,ffct-04069,off-topic,sunflower not skin,darker skin needs more sun for vitamin D,,0,0
webp,ffct-04195,text,ORS label baked in,ORS paired with zinc for childhood diarrhea,,3,3
webp,ffct-04215,text,vaccine label baked in,what is inside a vaccine,,2,3
webp,ffct-04219,off-topic,shows vessels not blood color,Human blood color,,3,1
webp,ffct-04222,text,anatomical labels baked in,skin cells renew,,3,3
webp,ffct-04228,off-topic,shows fingernail not clotting,How long blood takes to clot,,0,1
webp,ffct-04266,off-topic,pufferfish no sand circles,pufferfish building ornate sand circles for mating,,1,2
webp,ffct-04323,off-topic,caterpillar not Jose Rizal,Jose Rizal,,1,2
webp,ffct-04330,text,vaccine label baked in,"Vaccine prevents, medicine only treats",,2,3
webp,ffct-04363,text,vaccine labels baked in,vaccine vial monitor,,2,1
webp,ffct-04364,text,vaccine label baked in,Vaccines teach the body to recognize germs early,,2,2
webp,ffct-04366,off-topic,cooked rice not germination,Rice Germination,,2,3
webp,ffct-04376,text,taxonomy labels baked in,the largest/broadest taxonomy rank (below domain),,0,0
webp,ffct-04407,off-topic,single shark not commensalism,how commensalism works through riding food shelter,,0,2
webp,ffct-04411,text,sea patroller text baked in,community sea guards,,1,1
webp,ffct-04467,text,vaccine labels baked in,freezing also damages vaccines,,1,0
webp,ffct-04495,off-topic,stump not misconception,Misconception: nothing happens right away,,0,2
webp,ffct-04508,off-topic,bent nail not doctor,Knowing when to see a doctor,,2,1
webp,ffct-04529,off-topic,carabao not scientists counting,How scientists count rare animals,,0,1
webp,ffct-04605,off-topic,single face not melanin,why skin colors differ,,1,0
webp,ffct-04643,text,baked-in label text,Armpit lymph nodes as a concrete everyday example,,2,2
webp,ffct-04680,off-topic,carabao not tamaraw,How kids can help save the tamaraw,,1,2
webp,ffct-04756,off-topic,heart not pH accident,PH everyday example of a near accident,,1,2
webp,ffct-04841,text,baked-in D VITAMIN text,Extra vitamins do not give extra energy,,2,3
webp,ffct-04844,off-topic,snail not larva in water,The larva enters through human skin in water,,3,1
webp,ffct-04852,text,baked-in ORS label text,why ORS has sugar,,0,0
webp,ffct-05051,off-topic,pouring liquid not blowing,blowing on a wound does not heal it,,1,0
webp,ffct-05278,off-topic,electric eel not habituation,Why a shock gets weaker after repeated use,,2,3
webp,ffct-05364,off-topic,single fish no interbreeding,invasive species interbreeding with natives,,0,0
webp,ffct-05425,text,SOAP label baked in,worm infections can be treated and prevented,,0,0
webp,ffct-05544,off-topic,hydrogen fuel cell not microbial,bacteria extract energy from wastewater in microbial fuel cells,,1,0
webp,ffct-05617,off-topic,dough bowl not cold or yeast,cold slows yeast down,,1,1
webp,ffct-05685,text,vaccine label baked in,heat ruins vaccines,,0,3
webp,ffct-05702,text,vaccine label baked in,vaccines train immune memory,,3,1
webp,ffct-05741,text,vaccine label baked in,how vaccines changed health,,3,2
webp,ffct-05926,text,RED and GREEN labels,some people cannot tell certain colors apart,,3,3
webp,ffct-05929,text,SILENCED text on alarm,lowering only the fever does not cure the real sickness,,0,1
webp,ffct-05965,text,QUININE SULPHATE text,masking real illness,,0,0
webp,ffct-06038,text,AMOXICILLIN CAPSULES text,Batch or lot number tracks a medicine group,,1,1
webp,ffct-06059,text,VACCINE text on bottle,A vaccine helps prevent mumps,,2,3
webp,ffct-06308,off-topic,carabao not extinct or endangered,difference between extinct and endangered,,3,3
webp,ffct-06385,off-topic,thermometer not rest or immune,Why rest saves energy for the immune system,,1,0
webp,ffct-06696,text,vitamin label text,Vitamins alone do not stop tiredness,,2,0
webp,ffct-06706,off-topic,"shoe, no fungus shown",athlete's foot is a fungus,,3,3
webp,ffct-06730,text,vaccine label text,how mRNA vaccines work,,2,1
webp,ffct-06738,text,cap instructions text,Childproof cap and keep away from children,,3,2
webp,ffct-06861,off-topic,dugong not seagrass loss,seagrass loss from coastal development and pollution,,1,2
webp,ffct-06945,off-topic,"just water, no fear shown",fear of water is a sign of rabies,,0,0
webp,ffct-07059,text,prescription text,how antibiotics work,,0,0
webp,ffct-07067,scary,graphic blood in water,dysentery bloody diarrhea,,1,3
webp,ffct-07081,off-topic,microscope not antibiotic timeline,timeline of antibiotic discovery from penicillin to modern drugs,,0,0
webp,ffct-07129,off-topic,Komodo dragon not scan,scientists confirmed the venom with scans,,1,2
webp,ffct-07130,off-topic,dancer not human senses,Human Senses,,1,3
webp,ffct-07148,text,biogas digester label,methane-producing bacteria in biogas digesters,,3,3
webp,ffct-07178,text,Rx label baked in,different antibiotics target different bacteria,,2,0
webp,ffct-07396,text,medicine label baked in,do not share medicine,,2,3
webp,ffct-07414,off-topic,tiger not naming rules,how scientific names are written,,1,0
webp,ffct-07415,off-topic,DNA not project year,what year did the Human Genome Project begin,,1,1
webp,ffct-07446,text,ether inhaler label,when was ether anesthesia first demonstrated,,1,1
webp,ffct-07613,off-topic,shrub does not illustrate concept,evolution has no fixed goal,,3,3
webp,ffct-07686,text,SOAP baked in,Soap breaks the virus coat,,0,3
webp,ffct-07758,text,TEMPERATURE baked in,Poultry Incubator,,1,1
webp,ffct-07897,text,VACCINE label baked in,who created the rabies vaccine,,3,3
webp,ffct-07939,text,blood bag labels baked in,why blood must match,,3,1
webp,ffct-07942,off-topic,fish instead of lake,Laguna de Bay is a large Philippine lake,,3,2
webp,ffct-08084,text,book titles baked in,Why scientists group life into kingdoms,,3,1
webp,ffct-08160,text,ORS label baked in,Body signs that show ORS is needed,,0,0
webp,ffct-08274,text,vaccine label baked in,rubella is a different disease in the MMR vaccine,,1,0
webp,ffct-08364,text,vegetable oil label baked,vitamin E from nuts and oils protects cells,,3,0
webp,ffct-08519,text,ASPIRIN label baked in,why expired medicine is unsafe,,0,1
webp,ffct-08561,text,VACCINE label baked in,how vaccines work,,1,3
webp,ffct-08651,off-topic,human muscles not scientific name,how many words in a scientific name,,0,3
webp,ffct-08658,text,anatomical labels baked in,skin keeps water inside the body,,1,3
webp,ffct-08660,off-topic,glass of water not urine color,urine color shows hydration,,2,1
webp,ffct-08705,text,ORS text baked in,Early ORS can prevent the need for hospital care,,0,3
webp,ffct-08729,text,EUSTACHIAN TUBE label baked in,ear pressure equalizing,,3,2
webp,ffct-08732,text,inner ear labels baked in,why ears ring after loud noise,,0,0
webp,ffct-08790,off-topic,shows corn not yeast,yeast used in biotechnology for ethanol production,,2,0
webp,ffct-08838,off-topic,shows clam not medical care,"there is no antidote, only supportive care",,3,1
webp,ffct-09191,off-topic,shows morphine not insulin,Insulin was discovered about a century ago,,2,2
webp,ffct-09274,text,ORS label baked in,Why ORS may taste salty and how to help kids take it,,0,0
webp,ffct-09317,text,asthma labels baked in,asthma attack mechanism,,0,2
webp,ffct-09347,off-topic,shows sun not skin pigment,Skin color comes from a sun-blocking pigment,,0,0
webp,ffct-09434,text,temperature numbers baked in,When a fever needs a doctor's attention,,3,1
webp,ffct-09537,text,SPF label text baked in,Sun Safety,,2,0
webp,ffct-09550,text,blood bag label text baked in,donor and recipient must be compatible,,2,3
webp,ffct-09552,text,vaccine label text baked in,polio vaccine prevents paralysis,,3,0
webp,ffct-09688,text,baked-in 'CALCIUM' text,Calcium supplements help when food is short,,2,3
webp,ffct-09699,text,anatomical labels baked in,eardrum vibrates with incoming sound,,0,1
webp,ffct-09736,text,coin text and numbers,inheritance is probability,,0,0
webp,ffct-09743,text,skin layer labels,the dermis is the busy layer,,1,0
webp,ffct-09842,off-topic,"snail, not Philippine map",endemic regions in the Philippines,,1,3
webp,ffct-09847,text,bottle label text,Reading a real paracetamol label example,,2,3
webp,ffct-09848,text,epinephrine label text,anaphylaxis,,3,0
webp,ffct-09871,text,ointment label text,treat all household members for scabies,,1,2
webp,ffct-09955,off-topic,"newborn, not fetus",Fetal Development,,3,1
webp,ffct-10013,text,muscle/tendon/bone labels,tendons,,0,2
webp,ffct-10026,text,brain lobe labels,human brain usage,,2,2
webp,ffct-10051,text,vaccine vial label,what does a vaccine do,,1,0
webp,ffct-10078,off-topic,"passion flower, not carrion",some flowers smell like rotting meat to attract flies,,3,2
webp,ffct-10133,off-topic,does not show scurvy,deficiency disease scurvy,,2,3
webp,ffct-10139,off-topic,does not show protection,protecting clean water sources,,3,1
