stratum,id,slug,rating,reason
fuzzy-high,tapay-rice-wine-fermentation-g8,rice-wine-tapay-starter,good,"mold-speckled starter cake beside a mound of rice grains, matching the starter-plus-rice fact"
fuzzy-high,val-body-temperature,taking-body-temperature,good,"a person taking another's temperature with a thermometer, directly illustrating body temperature/fever"
fuzzy-high,volcano-lahar-mudflow-g6,lahar-volcanic-mudflow,good,erupting volcano with a grey mudflow burying a house and debris — a literal lahar scene
fuzzy-high,waterproof-absorbent-materials-g4,absorbent-vs-waterproof-test,good,"water poured onto cloth and sponge soaking in, versus beading off an umbrella and plastic sheet — the exact contrast stated"
fuzzy-threshold,firefly-light-no-heat-g5,campfire-light-heat-energy,harmful,"fact says a firefly's light is cold with almost no heat, but the image is a blazing campfire — light that is all heat, and no firefly anywhere"
fuzzy-threshold,ants-work-as-team-g3,body-systems-work-together,wrong,human body with internal organs shown for a fact about ants cooperating in a colony; no ants at all
fuzzy-threshold,fwg-static-electricity-1422,static-electricity-balloon-hair,wrong,"a child's balloon-and-hair static trick, while the fact is about 280 lightning strikes per hour over Venezuela"
fuzzy-threshold,glass-made-from-sand-g4,sand-settled-in-glass,wrong,"sand settled in a glass of water (a mixture demo), not sand melted into glass; shares only the words"
fuzzy-threshold,ammonite-cephalopod-fossil-g7,fossil-ammonite,acceptable,"a ribbed disc fossil in a rock slab, but drawn as perfect concentric rings rather than an ammonite's growing spiral coil"
fuzzy-threshold,andesite-intermediate-igneous-g6,igneous-rock-formation,acceptable,generic igneous rock specimen with flow-textured crust; not andesite-specific but correct rock family
fuzzy-threshold,barometer-pressure-weather-g5,barometer-pressure-gauge,acceptable,"a scaled tube standing in a reservoir dish reads as a crude barometer, though it could be mistaken for a rain gauge"
fuzzy-threshold,biceps-triceps-elbow-g6,hinge-joint-elbow-bend,acceptable,bent elbow showing joint bones only; correct body part and action but the biceps/triceps muscles the fact names are not drawn
fuzzy-threshold,convection-land-breeze-night-g7,land-sea-breeze,acceptable,"coastal breeze doodle with a sun on the horizon and ambiguous swirling arrows — related, does not clearly show the night land breeze"
fuzzy-threshold,fwg-mount-pulag-5037,mount-pulag-sea-of-clouds,acceptable,"shows Mount Pulag's summit above a sea of clouds, the right mountain but not the mossy forest the fact describes"
fuzzy-threshold,fwg-sound-vibration-987,drum-membrane-vibration-sound,acceptable,"drumhead struck with vibration lines shows vibration making sound, but the fact is about plucking a guitar string, so the instrument is mismatched"
fuzzy-threshold,fwg-uv-sun-protection-4979,sun-protection-salakot,acceptable,child shading under a wide-brim hat under strong sun; sun protection but not the sunscreen the fact names
fuzzy-threshold,living-plant-animal-cell-g7,cell-plant-organelles,acceptable,"a plant cell with stiff wall, large vacuole, nucleus and chloroplasts — correct for half the fact, but no animal cell shown for the contrast the fact makes"
fuzzy-threshold,philippine-crocodile-where-found-g5,philippine-crocodile-freshwater,acceptable,"plausible crocodile portrait with no habitat or map, so it shows the species but not the 'found only in a few places' claim"
fuzzy-threshold,philippine-duck-endemic-g4,philippine-duck,acceptable,"generic duck line art without the Philippine duck's diagnostic markings, but still a duck and not misleading for 'a kind of duck'"
fuzzy-threshold,rooster-cockfight-handler-scene-g4,rooster-cockfight-handler-scene,acceptable,"rooster with comb clearly shown, but framed as a sabong handler with gamefowl coops — off-topic context for a basic 'male chicken' fact"
fuzzy-threshold,aposematism-warning-colors-g5,warning-coloration-frog,good,"boldly blotched poison dart frog, the canonical aposematism example (hue absent only because art is grayscale)"
fuzzy-threshold,balanced-diet-meaning-g4,balanced-diet-pyramid-pinoy,good,"food pyramid with rice, fish/meat, vegetables and fruits — shows proportions across the food groups the fact describes"
fuzzy-threshold,boiling-water-kills-germs-g7,boiling-drinking-water-pot,good,"pot of water boiling on a flame with rising steam, matching the boil-to-make-water-safe fact"
fuzzy-threshold,cold-symptoms-runny-nose-g4,common-cold-flu-symptoms,good,child coughing/sneezing with sniffles drawn at the nose — the listed cold symptoms
fuzzy-threshold,covering-cough-elbow-g3,covering-cough-sneeze,good,"person covering mouth and nose with a tissue while sneezing, one of the two behaviors named"
fuzzy-threshold,drought-cracked-ph-example-g5,drought-cracked-rice-field,good,"farmer in a conical hat standing on cracked, dried-out paddy under a blazing sun"
fuzzy-threshold,earth-four-main-layers-g8,earth-layers,good,"cutaway sphere revealing nested interior layers down to a distinct inner core, matching the crust/mantle/outer-core/inner-core fact"
fuzzy-threshold,etruscan-shrew-smallest-mammal-g6,etruscan-shrew,good,"pointed-snout shrew with whiskers; correct animal, no size cue but nothing misleading"
fuzzy-threshold,fwg-limestone-cliffs-5378,el-nido-limestone-cliffs,good,karst limestone cliffs rising from the sea with a bangka; same Palawan formation type the fact describes (El Nido rather than Coron is indistinguishable to a child)
fuzzy-threshold,fwg-underground-river-5411,palawan-underground-river,good,"two people rowing a boat into a cave mouth over water, matching the boat-through-the-cave fact"
fuzzy-threshold,fwg2-evaporating-dish-2492,evaporating-saltwater-dish-setup,good,evaporating dish on a stand over a flame with salt crystals left at the rim
fuzzy-threshold,fwg2-habagat-monsoon-4144,habagat-monsoon-rain,good,dense rain cloud pouring heavy rain over houses and a person with an umbrella — plainly the heavy monsoon rains
fuzzy-threshold,fwg2-lunar-spring-tides-35,tides-spring-neap,good,Sun-Earth-Moon aligned with a stretched tidal bulge (spring) versus the perpendicular neap case — the mechanism behind full-moon spring tides
fuzzy-threshold,fwg2-rain-gauge-175,rain-gauge-jar-collector,good,funnel-topped graduated collecting jar with water in it — a rain gauge measuring depth
fuzzy-threshold,fwg2-rain-gauge-5087,rain-gauge-jar-collector,good,"graduated jar with a funnel collecting water — a rain gauge measuring rainfall, the instrument the fact is about"
fuzzy-threshold,fwg2-seed-germination-1993,seed-germination,good,germination sequence with the root descending below the soil line before the seedling grows up
fuzzy-threshold,giant-squid-large-g6,giant-squid,good,"squid with mantle, arms and prominent eyes; no size reference but the organism is correct"
fuzzy-threshold,ice-is-water-solid-form-g3,frozen-water-bottle-ice,good,bottle packed with ice chunks — an everyday picture of water in its solid form
fuzzy-threshold,invasive-water-mosquito-breeding-g6,invasive-water-hyacinth-scene,good,"boat stuck in a dense water-hyacinth mat choking a waterway — the still, covered water the fact says breeds mosquitoes"
fuzzy-threshold,mantle-convection-cell-parts-g9,mantle-convection,good,"cross-section with looping arrows rising, moving sideways and sinking — the three parts described"
fuzzy-threshold,ph-indicator-litmus-g8,litmus-paper-strips,good,"hand dipping a test strip into a dish of liquid with spare strips — litmus testing as described (color change not shown, image is B&W)"
fuzzy-threshold,porcupine-quills-defense-g4,porcupine-quills,good,"porcupine with quills raised and bristling, exactly the defense the fact describes"
fuzzy-threshold,sea-snake-venom-strong-g7,sea-snake-walo-walo,good,"banded sea snake with paddle tail, the animal the fact is about"
fuzzy-threshold,snail-shell-spiral-shape-g4,snail-shell-spiral-land,good,"land snail drawn with clearly visible coiled whorls, the feature the fact explains"
fuzzy-threshold,stomach-acid-breaks-food-g6,stomach-breaking-down-food,good,"cutaway stomach with food pieces churning inside and the outlet to the intestine, matching the fact"
fuzzy-threshold,taal-island-in-lake-g5,taal-volcano-lake-island,good,volcano island sitting inside a ring-shaped lake — the island-in-a-lake nesting the fact describes
fuzzy-threshold,tarsier-insect-eater-g4,tarsier-hunting-insect-scene,good,tarsier clinging to a branch holding a captured insect — shows both the insect diet and branch-clinging described
fuzzy-threshold,three-rock-types-overview-g5,three-rock-types-comparison,good,"three distinct rock specimens (layered, crystalline, vesicular) side by side, matching the three rock kinds"
fuzzy-threshold,tilapia-freshwater-fish-g3,tilapia-fish,good,a clearly drawn tilapia-type fish; shows the organism the fact is about (habitat itself is not depicted)
fuzzy-threshold,whale-shark-filter-feeder-g4,whale-shark-and-tiny-plankton,good,whale shark with wide terminal mouth and tiny plankton specks drifting into it — the filter-feeding described
fuzzy-threshold,whale-shark-gentle-harmless-g4,whale-shark-and-tiny-plankton,good,"non-threatening whale shark with open mouth taking in tiny plankton specks, supporting the gentle filter-feeder point"
fuzzy-threshold,why-hot-air-rises-g4,hot-air-balloon-rising,good,"hot-air balloon with lit burner, the exact example the fact ends on"
high-reuse,complete-incomplete-flower-g6,complete-vs-incomplete-metamorphosis,harmful,"butterfly and grasshopper life cycles shown for a fact about complete vs incomplete FLOWER parts — wrong organism and process, invites the exact confusion"
high-reuse,fwg-chemical-change-3185,frying-egg-chemical-change,harmful,"despite the slug, the image is a RAW egg cracked into a bowl (shell halves, runny white, no heat) — a physical change — paired with a fact about smoking fish causing a chemical change, teaching the exact misconception"
high-reuse,fwg-heat-conduction-1717,heat-conduction,harmful,"fact says the sand absorbs RADIANT heat from the sun, but the image is a canonical conduction diagram (flame heating a metal rod) — teaches the wrong heat-transfer mode, and no sand/sun/beach appears"
high-reuse,fwg-chemical-change-2826,frying-egg-chemical-change,wrong,raw egg cracked into a bowl (not even cooking) shown for a fact about iron rusting in sea air
high-reuse,fwg-light-refraction-1716,light-refraction,wrong,"abstract arrows bouncing off a plain box; no raindrop, prism, rainbow or terraces, and it reads more like reflection than refraction"
high-reuse,fwg-light-refraction-1817,light-refraction,wrong,"abstract rays bouncing off an opaque box, with no raindrop, prism or colour dispersion for a rainbow fact"
high-reuse,fwg2-chemical-change-2979,frying-egg-chemical-change,wrong,a raw egg cracked into a bowl (not even cooking) next to a fact about alcohol from tuba fermentation — unrelated example and it does not show a chemical change
high-reuse,fwg2-heat-conduction-1326,heat-conduction,wrong,"metal rod heated by a flame with arrows showing conduction, while the fact is about asphalt absorbing radiant heat from the sun — no sun, road or feet, and a different transfer mode"
high-reuse,fwg2-water-cycle-597,water-cycle-bag-window,wrong,classroom water-in-a-ziplock condensation demo has nothing to do with Lake Lanao as a reservoir feeding Maria Cristina Falls
high-reuse,philippine-eagle-largest-eagle-g6,philippine-eagle-chick,wrong,"a small fluffy nestling chick sitting in a nest, while the fact is entirely a size superlative about the adult's nearly-2 m wingspan — undercuts the claim it should illustrate"
high-reuse,philippine-eagle-wingspan-g8,philippine-eagle-chick,wrong,"a fluffy eaglet sitting in a nest with wings folded; the fact is specifically about a 2-metre adult wingspan, so the picture conveys the opposite sense of scale"
high-reuse,dissolving-physical-change-g8,physical-vs-chemical-change-sort,acceptable,"includes powder dissolving into a beaker, but the unlabeled quadrants put dissolving in the same column as burning"
high-reuse,fwg-energy-forms-1810,energy-forms-icons,acceptable,"generic forms-of-energy icon set; no food or moving body, but topically correct for an energy-conversion fact"
high-reuse,fwg-forms-of-energy-845,energy-forms-icons,acceptable,montage of energy-form icons including wind; on-topic for energy but shows no wind turbine or the fact's specific example
high-reuse,fwg-heat-conduction-1036,heat-conduction,acceptable,"generic conduction diagram of a flame heating a metal rod; right process, but a fast-conducting rod rather than the slow-conducting clay palayok"
high-reuse,fwg-heat-conduction-1820,heat-conduction,acceptable,"generic rod-in-a-flame conduction diagram — right mechanism, but nothing of the hot-sand/bare-feet scene and the flame could read as heating by fire"
high-reuse,fwg-kinetic-energy-1145,kinetic-potential-energy,acceptable,abstract ball-cresting-a-hill with motion streaks stands in for kinetic energy; on-concept but shows no river or microhydro plant and reads quite abstractly for a grade-5 child
high-reuse,fwg-kinetic-energy-1765,kinetic-potential-energy,acceptable,"abstract ball at a hilltop with motion streaks — conceptually kinetic energy, but no horse/kalesa and fairly abstract for a child"
high-reuse,fwg-kinetic-energy-908,kinetic-potential-energy,acceptable,"abstract ball speeding over a hill with motion streaks — generic kinetic energy, no car or speed-versus-braking-distance content"
high-reuse,fwg-states-of-matter-2814,states-of-matter-water-three,acceptable,"generic three-states scene (ice cubes, glass of water, steaming kettle); contains both states named but not the melting transition or a mountain setting"
high-reuse,fwg-water-cycle-709,water-cycle-bag-window,acceptable,water-cycle-in-a-bag demo showing evaporation and condensation; a broader stand-in that omits rain and transpiration but is not misleading
high-reuse,fwg-water-cycle-732,water-cycle-bag-window,acceptable,"generic bag evaporation/condensation demo; no tree or leaves, but the same vapor process the fact describes"
high-reuse,fwg2-forms-of-energy-1267,energy-forms-icons,acceptable,generic icon set of energy forms including a fire/flame; on-topic for chemical-to-thermal energy but nothing about burning rice husks or drying palay
high-reuse,fwg2-forms-of-energy-965,energy-forms-icons,acceptable,generic energy-forms icons including a mechanical gear; adjacent to the chemical-to-mechanical taho vendor fact
high-reuse,fwg2-states-of-matter-3053,states-of-matter-water-three,acceptable,generic ice/water/steaming-kettle states-of-matter picture; on-concept for liquid-to-solid but shows nothing of the mud or rice terraces the fact names
high-reuse,fwg2-states-of-matter-3142,states-of-matter-water-three,acceptable,"generic ice/water/steam states-of-matter drawing supports the solid-has-definite-shape point but shows water, not pili nuts"
high-reuse,fwg2-water-cycle-990,water-cycle-bag-window,acceptable,"water-cycle-in-a-bag demo with droplets falling; on-theme and shows a precipitation analog, but no clouds/rain or gravity cue"
high-reuse,pe-gravitational-height-g7,kinetic-potential-energy,acceptable,abstract sphere cresting a hill with motion streaks — adjacent to gravitational PE/KE but reads more as motion than as stored energy from height
high-reuse,ph-philippine-eagle-bird-g5,philippine-eagle-chick,acceptable,"correct species but a downy chick in a nest, so the 'feathers and large wings' national-bird description is not shown"
high-reuse,philippine-eagle-endangered-g4,philippine-eagle-chick,acceptable,"fluffy eaglet in a nest — an eagle and relevant to rarity, but shows none of the adult national bird's recognizable features"
high-reuse,philippine-eagle-endangered-g5,philippine-eagle-chick,acceptable,same downy chick in a nest: on-topic for the eagle but does not depict the critically endangered adult national bird
high-reuse,philippine-eagle-scientific-name-g7,philippine-eagle-chick,acceptable,"downy eagle chick in a nest — same species but a juvenile, so it doesn't show the eagle the naming fact refers to"
high-reuse,philippine-eagle-symbol-strength-g4,philippine-eagle-chick,acceptable,"a fluffy eaglet in a nest — right animal but a helpless chick, so it does not convey the adult eagle as a symbol of strength"
high-reuse,4s-dengue-prevention-g4,four-s-dengue-prevention,good,"emptying, covering and overturning mosquito breeding containers — the DOH search-and-destroy dengue measures"
high-reuse,complete-metamorphosis-name-g6,complete-vs-incomplete-metamorphosis,good,"egg→larva→chrysalis→butterfly cycle shown against the grasshopper's incomplete cycle, exactly the four-stage term defined"
high-reuse,complete-vs-incomplete-metamorphosis-compare-g4,complete-vs-incomplete-metamorphosis,good,butterfly egg-larva-pupa-adult cycle above a grasshopper nymph-to-adult cycle — a direct side-by-side of the two metamorphosis types
high-reuse,conduction-heat-transfer-g6,heat-conduction,good,flame at one end of a solid rod with arrows showing heat spreading along it
high-reuse,earth-solar-system-g4,solar-system,good,"Sun with a row of eight distinct planets along dashed orbits (a stylized second orbital band adds a few extra bodies, but it plainly reads as the solar system)"
high-reuse,fwg-dengue-prevention-5020,four-s-dengue-prevention,good,four-panel 4S diagram of emptying/covering standing-water containers with a mosquito at center — directly the fact's advice
high-reuse,fwg-dengue-prevention-83,four-s-dengue-prevention,good,"four panels of emptying, covering and overturning water containers around a mosquito — exactly the stagnant-water prevention in the fact"
high-reuse,fwg-physical-change-2906,physical-vs-chemical-change-sort,good,"sorting chart whose first panel is a rock crushed into smaller pieces, directly illustrating crushing as a physical change"
high-reuse,fwg-states-of-matter-2777,states-of-matter-water-three,good,ice cubes beside a glass of water (and steaming kettle) plainly show solid water melting to liquid
high-reuse,fwg-states-of-water-2512,states-of-matter-water-three,good,"ice cubes, a glass of liquid water and a steaming kettle side by side — same substance in different physical states"
high-reuse,fwg-water-cycle-144,water-cycle-bag-window,good,"the sealed-bag experiment showing water evaporating and recondensing as droplets, i.e. water not disappearing"
high-reuse,fwg2-dengue-prevention-3773,four-s-dengue-prevention,good,"four panels of emptying, covering and overturning water containers around an Aedes mosquito — the search-and-destroy breeding-site message"
high-reuse,incomplete-metamorphosis-examples-g3,complete-vs-incomplete-metamorphosis,good,"shows the grasshopper nymph-to-adult cycle beside the butterfly cycle, matching the incomplete-metamorphosis fact"
high-reuse,matter-states-particles-g3,states-of-matter-water-three,good,"ice cubes, a glass of water and a steaming kettle give one example per state"
high-reuse,water-three-states-g5,states-of-matter-water-three,good,"ice cubes, a glass of water and a steaming kettle show solid, liquid and gas side by side"
