sheet,id,pos,confirmed,evidence
regen-0046.png,ffct-19463,4,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0046.png,ffct-19479,9,yes,VERIFIED: chalk '300 K' large across the chalkboard centre.
regen-0043.png,ffct-19022,1,yes,VERIFIED: bold lowercase 'km' fills the road-sign face.
regen-0043.png,ffct-19025,3,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0043.png,ffct-19028,6,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0043.png,ffct-19036,10,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0043.png,ffct-19039,13,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0043.png,ffct-19041,15,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0131.png,ffct-33618,0,yes,"VERIFIED: giant outlined block numeral '1000' with legs/arm, occupies the whole tile."
regen-0131.png,ffct-33620,1,no,"NOT CONFIRMED at the strict bar. Zoomed 6x with autocontrast on the three header bands: there are faint dark blobs at the left and right ends of each header row, repeated across all three pages, but they have no resolvable letterform structure - indistinguishable from the engraving hatch used elsewhere. Date cells are correctly empty. Treat as sub-glyph noise, not baked-in text."
regen-0076.png,ffct-25680,2,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0076.png,ffct-25739,13,yes,VERIFIED: full Roman-numeral ring on the clock dial (XII/XI/X/IX/I/II/III legible) plus dense garbled faux-lettering filling every cell of the lower calendar ring and along the plinth.
regen-0076.png,ffct-25742,14,yes,"VERIFIED: large serif '1724' across the calendar page, left half of tile."
regen-0075.png,ffct-25637,4,yes,"VERIFIED: engraved serif '1879' beside the lightbulb, lower-right quadrant."
regen-0075.png,ffct-25656,9,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0042.png,ffct-18990,0,yes,VERIFIED: '26' above 'Fe' in huge serif type on the periodic-table card.
regen-0042.png,ffct-18991,1,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0042.png,ffct-18994,4,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0042.png,ffct-18996,6,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0042.png,ffct-19005,9,yes,"VERIFIED: 3-D block lettering 'MEGA' over '1,000,000' (with commas); entire tile is type."
regen-0042.png,ffct-19006,10,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0042.png,ffct-19018,15,no,"NOT CONFIRMED at the strict bar. Zoomed 12x with autocontrast on the claimed region: a tiny two-row grey smudge exists at the lower-left of the ruler face, but it is not resolvable as glyphs at any magnification. Ruler face is otherwise unnumbered. Original claim was self-rated low confidence; agree it is below the bar."
regen-0129.png,ffct-33507,0,yes,VERIFIED: a legible numeral '9' rendered as the light surface marking on Pluto's disc (replaces the usual heart).
regen-0129.png,ffct-33512,2,yes,"VERIFIED: large 'O' plus '46%' on the crust block face, ~40% of tile width."
regen-0129.png,ffct-33513,3,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0129.png,ffct-33580,10,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0129.png,ffct-33590,14,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0127.png,ffct-33347,13,yes,VERIFIED: bold '29' fills the lower two-thirds of the tear-off calendar page.
regen-0082.png,ffct-26190,6,yes,"VERIFIED: 3-D block numeral '4' inside the magnifying-glass lens, centre of tile."
